Platform,color,model,posted_date,price,release_date,storage,title,description
중고나라,블랙,iPhone 11 Pro,2020-09-05,170000,2019,256GB,아이폰11프로 256 블랙,액정에 실기스 두개 위 아래 찍힘 기스 좀 있구요.  나머지는 이상 없습니다.
중고나라,스페이스 그레이,iPhone 11 Pro,2026-03-23,220000,2018,512GB,아이폰11프로 512G 스그(해외판 무음) 배터리 교체완료,아이폰11프로 512GB 스페이스그레이 모델입니다. 해외판이라 카메라 무음인 점이 가장 큰 장점입니다.  1. 상태 ? 26년 1월 21일 배터리 신품 교체 (픽스앤조이) ? iOS 18.2 업데이트 완료 ? 액정 기스 있음 (필름 미부착 사용) ? 카메라 2배줌 먼지 3개 보임 2. 참고사항 외관 상태 사진으로 최대한 투명하게 공유드립니다. 512GB 무음 모델 메리트 충분히 아시는 분이 가져가 셨으면 좋겠습니다.  X 네고 사절
중고나라,스페이스 그레이,iPhone 11 Pro,2026-03-21,250000,2019,256GB,아이폰11 프로 256 a급 배터리효율100%,스패이스그레이  본품만 있습니다 리퍼 새제품으로 받고 소장용으로 보관만 했습니다 a급 배터리 효율상태 100% 입니다  사설수리 일절없고 새리퍼 받고 받은 상태로 소장이라 변경사항은 없습니다   직거래 명학역 직거래만 하겠습니다
중고나라,스페이스 그레이,iPhone 11 Pro,2026-03-22,200000,2019,256GB,아이폰11프로256,아이폰11프로256 스페이스 그레이 판매합니다.  항상케이스카메라보호필림 끼우고 다녔네요.  화면에 미세한 생활스크레치보이네요.  찍힘이나 수리한적 없습니다.  정품밧데리 한번 교체 했네요.  기기상태A급입니다.기기정상 작동입니다.  기기이다보니 직거래 선호하구요.  파손면책 동의하시면 택배로 발송해 드립니다.
중고나라,스페이스 그레이,iPhone 11 Pro,2026-03-23,360000,2019,256GB,"아이폰 11프로 256 풀박스,상태S급,배터리98프로,스페이스그레이모든.기능정상배터리 ㅡ98프로상태 ㅡS급스페이스그","아이폰 11프로 256 풀박스,상태S급,배터리98프로,스페이스그레이  모든.기능정상  배터리 ㅡ98프로  상태 ㅡS급  스페이스그레이  256기가   풀박스 구성 ㅡ정품 어댑터,미사용 정품케이블,미사용 정품 이어폰  11프로 부터 현재와 같은 어댑터 들어있음  구매원하시면 안전결재 하시면 됩니다"
중고나라,스페이스 그레이,iPhone 11 Pro,2026-03-21,230000,2019,256GB,아이폰 11 Pro 256GB 스페이스그레이(자급제) / 배터리 85% / 박스O,"- 모델: iPhone 11 Pro - 용량: 256GB - 색상: 스페이스 그레이(사진 참고) - 배터리 성능: 85% (첨부 사진) - 자급제/공기계: 통신사 약정/연계 없음, 유심만 끼우면 바로 사용 가능 - 구성품: 박스 있음 (사진 참고)  ㅇ상태: 사용기간 내내 보호필름+케이스 상시 착용으로 전반적으로 양호합니다. ㅇ다만 후면 카메라 주변 모서리 “찍힘” 1곳 있어 사진에 상세히 올립니다. (기능 이상 없음) ㅇ기능: 통화/카메라/페이스ID/충전 등 사용상 문제 없었습니다.  - 거래: 직거래/택배 가능(협의) - 가격: 23만 원 (적당선 네고 가능 / 쿨거래 우대)  연락 주시면 빠르게 답 드릴게요!"
중고나라,스페이스 그레이,iPhone 11 Pro,2026-03-22,100000,2019,64GB,아이폰11프로 64GB,"A급 아이폰 11 Pro 스페이스 그레이 판매합니다. 배터리 성능 최대치는 100%입니다 카메라에 보호틀 부착되어 깨끗합니다. 페이스아이디만 안되며 내ㆍ외관 최상급 입니다. 잔상없으며, 강화유리필름에 작은기포1개 있으나 기스없어서 그냥 사용하셔도 됩니다??  빠른판매를 위해 저렴하게 내놓습니다! 010 2032 04O9 문의주세용~!! 직거래 강북구 수유동 입니다!"
중고나라,실버,iPhone 11 Pro,2026-03-23,240000,2019,256GB,아이폰 11 프로 256기가 특A급,"아이폰 11 프로 256기가 실버 특A급 판매합니다.  사자마자 신지모루 강화유리 장착하고 케이스 끼워 사용해서, 기스나 찍힘 전혀 없는 새것 같은 상태입니다.  구입 후 얼마 사용 안 했고, 카메라나 페이스 아이디 등 당연히 작동 문제 전혀 없습니다.  사설 수리이력 및 리퍼이력 전혀 없고, 배터리는 78% 입니다.  종이류 구성품, 스티커, 이어폰 등 빠짐 없는 박스풀입니다!"
중고나라,실버,iPhone 11 Pro,2026-03-15,180000,2019,256GB,아이폰 11 프로 실버 256GB,아이폰 11 프로 실버 색상 256GB 모델입니다 성격상 조심히 사용하는 스타일이라 외관 깨끗합니다 생활기스 존재하고 백판은 스크래치 없습니다 액정에 미세한 스크래치가 있는데 강화유리나 필름 사용시 안보입니다   상태 양호한데 핸드폰을 바꾸는 사유로 판매합니다 박스만 있고 사생활 보호 강화유리 1매도 같이 드립니다
중고나라,실버,iPhone 11 Pro,2026-03-21,180000,2019,64GB,아이폰 11pro 실버 풀박스,"기종: 아이폰 11pro 실버 저장공간: 64gb 배터리: 79% 상태: 매우 양호함  메인폰으로 써도 문제없어요 상태 너무 좋아요! 사진이 너무 많아 저장공간이 적게 느껴져 판매합니다 테두리에 적은 생활기스말고는 흠집이라곤 찾아볼수 없을정도로 상태가 너무 좋아요 초중학생들 첫 입문용 폰으로도 추천드려요 풀박스 구성이에요 충전기는 상태가 안좋아서 못드릴거같아요ㅠ 케이스4개도 드립니다   직거래, Gs25/CU편의점 반택, 문고리거래 희망"
